gas,by,2
by,my,10
my,house,16
house,hit,2
going,to,1496
to,chapel,12
chapel,hill,22
hill,on,2
on,sat,80
davlar,th,2
th,main,2
main,rivals,2
rivals,are,2
are,team,2
team,poland,2
poland,hopefully,2
hopefully,we,6
we,an,2
an,make,2
make,it,102
successful,end,2
end,to,8
tough,week,4
week,of,14
of,training,8
training,tomorrow,2
just,watched,48
watched,it,14
it,sridevi,2
remember,her,2
her,from,4
from,the,290
sun,mornings,2
mornings,on,2
on,nta,4
one,of,264
of,my,130
my,best,14
best,th,8
th,graders,10
graders,kory,2
kory,was,2
was,excited,2
excited,after,2
after,his,16
his,touchdown,2
touchdown,today,2
today,he,14
he,did,18
did,the,14
the,victor,6
victor,cruz,20
cruz,lol,2
didnt,want,2
want,to,402
to,just,14
just,pop,2
pop,up,2
up,but,6
but,yep,2
yep,we,2
we,have,166
have,chapel,2
hill,next,2
next,wednesday,32
wednesday,you,8
you,should,48
should,come,20
come,and,42
and,shes,6
shes,great,2
great,ill,2
ill,tell,2
tell,her,10
her,you,4
you,asked,4
serge,is,2
is,amazing,8
amazing,like,4
like,hes,2
hes,actually,2
god,the,2
the,lanky,2
lanky,sex,2
sex,god,2
saw,kasabian,2
kasabian,and,2
and,noel,2
noel,together,2
together,in,4
in,august,20
august,it,2
it,was,234
was,amazing,12
good,morning,98
morning,becky,4
becky,thursday,2
thursday,is,14
is,going,248
to,be,762
be,fantastic,2
fantastic,jg,2
one,ticket,6
ticket,left,2
left,for,12
for,the,1644
the,ers,6
ers,game,4
game,tomorrow,150
tomorrow,don,8
miss,the,38
the,rematch,4
rematch,of,4
of,the,1642
the,nfc,16
nfc,championship,18
championship,game,18
game,against,66
against,the,74
the,ny,2
ny,giants,2
giants,hit,2
hit,me,18
me,up,46
never,start,2
start,working,4
working,on,38
on,your,38
your,dreams,8
dreams,and,4
and,goals,2
goals,tomorrow,2
tomorrow,tomorrow,4
tomorrow,never,2
never,comes,2
comes,if,2
if,it,66
it,means,10
means,anything,2
anything,to,10
act,now,2
